beta1,alpha,R0,class,max_re,max_im
0.22,3.6565217391304348,7.5946573619967594,endemic_spiral,-0.013856524612923667,0.043754283255725154
0.22,3.8282608695652174,7.876657233694468,endemic_spiral,-0.014297105038619189,0.044485748811441926
0.22,4.0,8.158657105392175,endemic_spiral,-0.014736091882711336,0.045197992548869456
0.24,0.05,1.771181530507644,endemic_spiral,-0.004102707385113409,0.02028495956816738
0.24,0.2217391304347826,2.0531814022053516,endemic_spiral,-0.004676856200133262,0.022363988554666956
0.24,0.3934782608695652,2.3351812739030593,endemic_spiral,-0.005213411720237886,0.0241703356076201
0.24,0.5652173913043479,2.617181145600767,endemic_spiral,-0.005727666174484406,0.025797375134548897
0.24,0.7369565217391305,2.8991810172984747,endemic_spiral,-0.006227469017544399,0.02729266246969739
0.24,0.9086956521739131,3.181180888996182,endemic_spiral,-0.006717216385663849,0.02868446739624664
0.24,1.0804347826086957,3.4631807606938896,endemic_spiral,-0.007199549305065754,0.029991397706139622
0.24,1.2521739130434784,3.7451806323915973,endemic_spiral,-0.007676145500708371,0.031226597457119327
0.24,1.423913043478261,4.027180504089305,endemic_spiral,-0.008148119973614996,0.032399836473553885
0.24,1.5956521739130436,4.309180375787013,endemic_spiral,-0.00861624162446796,0.033518658225782795
0.24,1.7673913043478262,4.59118024748472,endemic_spiral,-0.009081057114433229,0.03458906035023364
0.24,1.9391304347826088,4.873180119182428,endemic_spiral,-0.009542965392099496,0.03561592321000082
0.24,2.110869565217391,5.155179990880136,endemic_spiral,-0.0100022640638365,0.03660329311298747
0.24,2.282608695652174,5.4371798625778425,endemic_spiral,-0.010459179286577927,0.037554577177041054
0.24,2.4543478260869565,5.719179734275551,endemic_spiral,-0.010913885891714152,0.03847268177197092
0.24,2.626086956521739,6.001179605973258,endemic_spiral,-0.011366520849721768,0.03936011369273392
0.24,2.7978260869565217,6.283179477670966,endemic_spiral,-0.01181719288684384,0.04021905583797245
0.24,2.9695652173913043,6.565179349368673,endemic_spiral,-0.01226598918693064,0.041051424937994456
0.24,3.141304347826087,6.84717922106638,endemic_spiral,-0.012712980560242023,0.041858916471116475
0.24,3.3130434782608695,7.129179092764089,endemic_spiral,-0.013158224716570032,0.04264303992482567
0.24,3.484782608695652,7.411178964461797,endemic_spiral,-0.013601769121592094,0.043405147154635636
0.24,3.6565217391304348,7.693178836159504,endemic_spiral,-0.014043653324537865,0.04414645520271405
0.24,3.8282608695652174,7.975178707857211,endemic_spiral,-0.014483910173203482,0.04486806499442811
0.24,4.0,8.25717857955492,endemic_spiral,-0.014922567154791035,0.04557097675924495
0.26,0.05,1.869703004670387,endemic_spiral,-0.004296292251999123,0.021476325639730415
0.26,0.2217391304347826,2.1517028763680948,endemic_spiral,-0.004869206564653542,0.023383982715009976
0.26,0.3934782608695652,2.4337027480658024,endemic_spiral,-0.005405079428425877,0.025078423256410225
0.26,0.5652173913043479,2.71570261976351,endemic_spiral,-0.005918951574328304,0.02662432190286578
0.26,0.7369565217391305,2.997702491461218,endemic_spiral,-0.0064185134005137045,0.028056872261484806
0.26,0.9086956521739131,3.2797023631589255,endemic_spiral,-0.0069080803654175274,0.029398038365726024
0.26,1.0804347826086957,3.561702234856633,endemic_spiral,-0.007390253627893488,0.030662822365731163
0.26,1.2521739130434784,3.8437021065543404,endemic_spiral,-0.007866691290345593,0.03186213060421966
0.26,1.423913043478261,4.125701978252048,endemic_spiral,-0.008338498866580413,0.03300425626644558
0.26,1.5956521739130436,4.407701849949756,endemic_spiral,-0.008806440843893273,0.03409572098023592
0.26,1.7673913043478262,4.689701721647463,endemic_spiral,-0.009271062326952387,0.03514178802921793
0.26,1.9391304347826088,4.971701593345172,endemic_spiral,-0.009732761908572439,0.036146793540331214
0.26,2.110869565217391,5.253701465042878,endemic_spiral,-0.010191837598210069,0.037114370111288715
0.26,2.282608695652174,5.535701336740585,endemic_spiral,-0.01064851636608561,0.03804760354226876
0.26,2.4543478260869565,5.817701208438294,endemic_spiral,-0.011102973799238285,0.03894914605787134
0.26,2.626086956521739,6.0997010801360005,endemic_spiral,-0.011555347815380566,0.039821300261008115
0.26,2.7978260869565217,6.381700951833709,endemic_spiral,-0.012005747988902997,0.0406660826991381
0.26,2.9695652173913043,6.663700823531417,endemic_spiral,-0.01245426244495619,0.04148527296301804
0.26,3.141304347826087,6.945700695229124,endemic_spiral,-0.01290096252090217,0.042280452206313206
0.26,3.3130434782608695,7.227700566926832,endemic_spiral,-0.013345906723894763,0.04305303377030764
0.26,3.484782608695652,7.50970043862454,endemic_spiral,-0.013789143226221448,0.043804287928202575
0.26,3.6565217391304348,7.791700310322247,endemic_spiral,-0.014230711975074169,0.044535361897881424
0.26,3.8282608695652174,8.073700182019955,endemic_spiral,-0.014670646407781223,0.04524729652561202
0.26,4.0,8.355700053717662,endemic_spiral,-0.01510897449583685,0.04594103993577791
0.28,0.05,1.9682244788331307,endemic_spiral,-0.004488672402415996,0.0225956043197098
